date_1	19/08/2023
date_2	200321
date_3	200318
date_4	010318
date_5	18.08.16
date_6	18.08.14
date_7	9/11/18
date_8	9/11/16
date_9	03.07.25
date_10	04.07.22
date_11	07
date_12	02
date_13	25
date_14	07
date_15	02
date_16	22
date_17	020722
date_18	05.01.2022
date_19	14 JAN 2026
date_20	14 JAN 2021
date_21	270525
date_22	02AUG
date_23	270522
date_24	03AUG
date_25	17/02/24
date_26	18/02/21
date_27	01/02/21
date_28	10/05/25
date_29	11/05/22
date_30	21.06.25
date_31	22.06.22
date_32	300622
date_33	110926
date_34	110923
date_35	010923
date_36	050426
date_37	050423
date_38	150423
date_39	030324
date_40	040321
